title,url,content,clean_text,clean_text_nostop,sentiment_score,sentiment_label
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Bismillahirrahmanirrahim.,bismillahirrahmanirrahim,bismillahirrahmanirrahim,0,netral
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Assalamu’alaikum warahmatullahi wabarakatuh,Selamat siang,Salam sejahtera bagi kita sekalian,Syalom,Salve,Om swastiastu,Namo Buddhaya,Salam kebajikan,Rahayu rahayu.",assalamu alaikum warahmatullahi wabarakatuh selamat siang salam sejahtera bagi kita sekalian syalom salve om swastiastu namo buddhaya salam kebajikan rahayu rahayu,assalamu alaikum warahmatullahi wabarakatuh selamat siang salam sejahtera kita sekalian syalom salve om swastiastu namo buddhaya salam kebajikan rahayu rahayu,7,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Yang saya hormati Menteri Perumahan dan Kawasan Permukiman Saudara Maruarar Sirait, beserta seluruh jajaran Kementerian Perumahan dan Kawasan Permukiman yang hadir;Ketua Dewan Perwakilan Daerah Republik Indonesia Saudara Sultan Bachtiar Najamudin.",yang saya hormati menteri perumahan dan kawasan permukiman saudara maruarar sirait beserta seluruh jajaran kementerian perumahan dan kawasan permukiman yang hadir ketua dewan perwakilan daerah republik indonesia saudara sultan bachtiar najamudin,saya hormati menteri perumahan kawasan permukiman saudara maruarar sirait beserta seluruh jajaran kementerian perumahan kawasan permukiman hadir ketua dewan perwakilan daerah republik indonesia saudara sultan bachtiar najamudin,-3,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Para Menteri Koordinator, para Menteri, Jaksa Agung, Panglima TNI.",para menteri koordinator para menteri jaksa agung panglima tni,menteri koordinator menteri jaksa agung panglima tni,5,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Saya ulangi, ya, Jaksa Agung, Kapolri.",saya ulangi ya jaksa agung kapolri,ulangi jaksa agung kapolri,0,netral
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Selalu berdekatan, baru Panglima TNI;Kepala Badan dan para Wakil Menteri, serta seluruh anggota Kabinet Merah Putih yang hadir, yang daftarnya terlampir.",selalu berdekatan baru panglima tni kepala badan dan para wakil menteri serta seluruh anggota kabinet merah putih yang hadir yang daftarnya terlampir,selalu berdekatan baru panglima tni kepala badan para wakil menteri seluruh anggota kabinet merah putih hadir daftarnya terlampir,-18,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Di sini ada 40 nama, tapi sebagian sudah disebut tadi.",di sini ada nama tapi sebagian sudah disebut tadi,sini nama sebagian disebut tadi,0,netral
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Perlu disebut lagi?,perlu disebut lagi,perlu disebut,2,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Enggak apa-apa ya, tidak mengurangi rasa hormat ya.",enggak apa apa ya tidak mengurangi rasa hormat ya,enggak apa apa tidak mengurangi rasa hormat,-13,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Tapi ada, di sini ada, apa, yang saya sebut, saya kira tadi.",tapi ada di sini ada apa yang saya sebut saya kira tadi,sini ada apa sebut saya kira tadi,-11,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Menteri Perumahan, salah tadi bukan, ini, apa, Ibu Destry sekarang adalah pejabat, Pejabat Gubernur Sementara, PGS, ya, singkatannya, Pejabat Gubernur Sementara.",menteri perumahan salah tadi bukan ini apa ibu destry sekarang adalah pejabat pejabat gubernur sementara pgs ya singkatannya pejabat gubernur sementara,menteri perumahan salah tadi bukan apa ibu destry sekarang pejabat pejabat gubernur pgs singkatannya pejabat gubernur,-19,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Jadi pejabat.,jadi pejabat,jadi pejabat,-5,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Kayaknya,gimana?",kayaknya gimana,kayaknya gimana,-3,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Oke.,oke,oke,2,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Terserah DPR nanti, ya, kira-kira.",terserah dpr nanti ya kira kira,terserah dpr ya kira kira,-3,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Jadi saya tidak sebut, ya, Menteri-menteri.",jadi saya tidak sebut ya menteri menteri,jadi tidak sebut menteri menteri,-7,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Ini Menteri-menteri ini jago-jago semua ini, Menteri-Menteri saya, Menko-Menko saya semua, ya.",ini menteri menteri ini jago jago semua ini menteri menteri saya menko menko saya semua ya,menteri menteri jago jago semua menteri menteri menko menko semua,0,netral
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Kepala Badan, Wakil Menterinya juga jagoan semua, ya.",kepala badan wakil menterinya juga jagoan semua ya,kepala badan wakil menterinya jagoan semua,-3,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Tadi Menteri UMKM juga kumisnya gagah sekali, kok, itu, dari Kerala keturunannya.",tadi menteri umkm juga kumisnya gagah sekali kok itu dari kerala keturunannya,tadi menteri umkm kumisnya gagah sekali kok dari kerala keturunannya,-5,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Dia senang, Perdana Menteri Modi datang dia senang sekali itu.",dia senang perdana menteri modi datang dia senang sekali itu,senang perdana menteri modi datang senang sekali,-13,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Saya kira kau keturunan Gujarat, ternyata bukan.",saya kira kau keturunan gujarat ternyata bukan,kira kau keturunan gujarat ternyata bukan,-5,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Kerala, Kerala.",kerala kerala,kerala kerala,0,netral
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Para Kepala Daerah yang hadir, Gubernur Jawa Tengah Komisaris Jenderal Polisi (Purn.) Ahmad Luthfi beserta Forkopimda Jawa Tengah, ya.",para kepala daerah yang hadir gubernur jawa tengah komisaris jenderal polisi purn ahmad luthfi beserta forkopimda jawa tengah ya,kepala daerah hadir gubernur jawa tengah komisaris jenderal polisi purn ahmad luthfi beserta forkopimda jawa tengah,1,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Panglima, Kapolda, Kepala Kejaksaan, Kajati.",panglima kapolda kepala kejaksaan kajati,panglima kapolda kepala kejaksaan kajati,3,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Terima kasih kehadiran.,terima kasih kehadiran,terima kasih kehadiran,4,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Nah, itu benar itu, Kapolda dan Jaksa duduk dekat-dekatan.",nah itu benar itu kapolda dan jaksa duduk dekat dekatan,nah benar kapolda jaksa duduk dekat dekatan,-8,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Jadi, apa, jadi enak gitu, ya, sejuk.",jadi apa jadi enak gitu ya sejuk,jadi apa jadi enak gitu sejuk,-11,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Semua senang, kok.",semua senang kok,semua senang kok,-7,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Gubernur Jawa Barat yang saya hormati Saudara KDM, Saudara Dedi Mulyadi.",gubernur jawa barat yang saya hormati saudara kdm saudara dedi mulyadi,gubernur jawa barat saya hormati saudara kdm saudara dedi mulyadi,-3,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Sepatunya harus putih juga itu.,sepatunya harus putih juga itu,sepatunya putih itu,-6,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Tali sepatu warnanya apa itu?,tali sepatu warnanya apa itu,tali sepatu warnanya apa,0,netral
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Merah?,merah,merah,-3,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Talinya apa?,talinya apa,talinya apa,-3,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Cokelat;Yang saya hormati Gubernur Jawa Timur Saudari Khofifah Indar Parawansa.Para Bupati dan Wali Kota yang hadir semuanya ada 18, jadi enggak terlalu banyak.",cokelat yang saya hormati gubernur jawa timur saudari khofifah indar parawansa para bupati dan wali kota yang hadir semuanya ada jadi enggak terlalu banyak,cokelat saya hormati gubernur jawa timur saudari khofifah indar parawansa bupati wali kota hadir semuanya jadi enggak terlalu banyak,-18,negatif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Perlu saya sebut satu-satu?,perlu saya sebut satu satu,perlu sebut satu satu,0,netral
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Perlu?,perlu,perlu,2,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,"Perlu, ya?",perlu ya,perlu,2,positif
Sambutan Presiden pada Akad Massal 62.000 Unit KPR Rumah Subsidi dan KUR Perumahan Sebesar Rp880 Miliar,https://www.setneg.go.id/baca/index/sambutan_presiden_pada_akad_massal_62000_unit_kpr_rumah_subsidi_dan_kur_perumahan_sebesar_rp880_miliar,Kasihan mereka sudah datang jauh-jauh.,kasihan mereka sudah datang jauh jauh,kasihan sudah datang jauh jauh,-17,negatif
